re,variant,family,n_parameters,training_time_seconds,final_training_loss,lbfgs_closure_calls,peak_gpu_memory_mb
100,fast_spline_kan_medium,FastSpline-KAN,21956,459.3729591369629,0.1656001092072486,262,5041.46240234375
100,pinn_baseline,PINN,12802,91.10504603385925,0.2818125375232379,286,413.875
100,pinn_wide,PINN,28418,90.9132194519043,0.41928296620963235,280,648.16259765625
400,fast_spline_kan_medium,FastSpline-KAN,21956,465.8335328102112,0.10590513959649464,269,5041.46240234375
400,pinn_baseline,PINN,12802,92.2433979511261,0.17514698416497923,278,413.8759765625
400,pinn_wide,PINN,28418,90.66064977645874,0.24872759607741687,281,648.16259765625
1000,fast_spline_kan_medium,FastSpline-KAN,21956,467.4064600467682,0.07820994300351791,273,5041.46337890625
1000,pinn_baseline,PINN,12802,91.89934849739075,0.08754540060498495,281,413.875
1000,pinn_wide,PINN,28418,92.55615615844727,0.10583056963806896,283,648.16259765625
5000,fast_spline_kan_medium,FastSpline-KAN,21956,473.9625301361084,0.047449403102169344,285,5041.46337890625
5000,pinn_baseline,PINN,12802,90.92939496040344,0.04416586725414065,279,413.8759765625
5000,pinn_wide,PINN,28418,88.68156385421753,0.03670410860182613,289,648.16259765625
