re,nu,variant,family,n_parameters,training_time_seconds,final_training_loss,lbfgs_closure_calls,peak_gpu_memory_mb,quick_mode,L2_u,L2_v,L2_mean,Linf_u,Linf_v,Linf_mean,vortex_x,vortex_y,vortex_center_error,boundary_condition_MSE,PDE_residual_norm
100,0.01,fast_spline_kan_medium,FastSpline-KAN,21956,459.3729591369629,0.1656001092072486,262,5041.46240234375,False,0.10539540951443627,0.11384128484737924,0.10961834718090775,0.21508174742726655,0.20351283512275908,0.20929729127501281,0.6464646464646465,0.8383838383838385,0.10802341495128255,0.0056889284929350714,0.20488325155351259
100,0.01,pinn_baseline,PINN,12802,91.10504603385925,0.2818125375232379,286,413.875,False,0.13433194074027474,0.13694699918054618,0.13563946996041046,0.3055026635534991,0.25929001331877943,0.28239633843613926,0.05050505050505051,0.9494949494949496,0.6061427250089851,0.007145195816010134,0.23825217393174414
100,0.01,pinn_wide,PINN,28418,90.9132194519043,0.41928296620963235,280,648.16259765625,False,0.14947250680100282,0.1326361225571769,0.14105431467908985,0.31614231325928577,0.26336715258027665,0.2897547329197812,0.9292929292929294,0.8989898989898991,0.3528339997281252,0.010767822858043521,0.2379810245013105
400,0.0025,fast_spline_kan_medium,FastSpline-KAN,21956,465.8335328102112,0.10590513959649464,269,5041.46240234375,False,0.19951422118288187,0.2468930551321618,0.22320363815752184,0.42746252726936473,0.4650816375297883,0.4462720823995765,0.696969696969697,0.9191919191919192,0.34444634827815923,0.004808425039842353,0.1433859451099815
400,0.0025,pinn_baseline,PINN,12802,92.2433979511261,0.17514698416497923,278,413.8759765625,False,0.26474123066350125,0.2405405490813926,0.2526408898724469,0.5076189668594857,0.46590381894238797,0.48676139290093684,0.05050505050505051,0.8787878787878789,0.5734970024233719,0.004803163041509088,0.15810583459819935
400,0.0025,pinn_wide,PINN,28418,90.66064977645874,0.24872759607741687,281,648.16259765625,False,0.2710712246492483,0.24148622726031832,0.2562787259547833,0.5239324022782531,0.4687271836966891,0.4963297929874711,0.9494949494949496,0.9494949494949496,0.5236368755394837,0.007083347383010629,0.17293695500971612
1000,0.001,fast_spline_kan_medium,FastSpline-KAN,21956,467.4064600467682,0.07820994300351791,273,5041.46337890625,False,0.29269916949673674,0.29788150013075704,0.2952903348137469,0.5299666670132331,0.5139547004516806,0.5219606837324569,0.9494949494949496,0.9494949494949496,0.5697825082587935,0.0012922092425273245,0.14707858189390796
1000,0.001,pinn_baseline,PINN,12802,91.89934849739075,0.08754540060498495,281,413.875,False,0.3251923560690878,0.3135297086768545,0.31936103237297114,0.5625829755559209,0.5315890400791817,0.5470860078175512,0.9494949494949496,0.9494949494949496,0.5697825082587935,0.005596660122199905,0.11327428184703439
1000,0.001,pinn_wide,PINN,28418,92.55615615844727,0.10583056963806896,283,648.16259765625,False,0.32742142973395094,0.3105856173195942,0.3190035235267726,0.5679650760460696,0.5283283702236994,0.5481467231348844,0.05050505050505051,0.9191919191919192,0.5986592592424055,0.004988986671548749,0.11745678084796217
5000,0.0002,fast_spline_kan_medium,FastSpline-KAN,21956,473.9625301361084,0.047449403102169344,285,5041.46337890625,False,0.3081288389208654,0.3816399310990605,0.344884385009963,0.43109908306018446,0.5571155394982714,0.4941073112792279,0.9494949494949496,0.888888888888889,0.5628145768605699,0.0010507863529168563,0.0654160326140564
5000,0.0002,pinn_baseline,PINN,12802,90.92939496040344,0.04416586725414065,279,413.8759765625,False,0.3375054992337751,0.38658792561740996,0.3620467124255925,0.5221272849041243,0.5602530096969386,0.5411901473005314,0.05050505050505051,0.9494949494949496,0.6199524873864705,0.0013884512410881616,0.056903005210780906
5000,0.0002,pinn_wide,PINN,28418,88.68156385421753,0.03670410860182613,289,648.16259765625,False,0.3451083416207958,0.38826815917285207,0.36668825039682396,0.5389081663463114,0.5612453283085409,0.5500767473274262,0.9494949494949496,0.9494949494949496,0.6027476445248943,0.0023707179857914563,0.061175226352134314
